repo,commit,cve_ids,n_pairs,event_id,ground_truth_policy,mean_delta_composite,median_delta_composite,positive_share
redis,bc7fe41e5857a0854d524e2a63a028e9394d2a5c,CVE-2023-28856,1,CVE-2023-28856,strict_nvd_event,-0.004172690637508802,-0.004172690637508802,0.0
redis,45eac0262028c771b6f5307372814b75f49f7a9e,CVE-2025-46818,6,CVE-2025-46818,strict_nvd_event,-0.006444775800541286,-0.014689660589533776,0.3333333333333333
redis,dcbfcb916ca1a269b3feef86ee86835294758f84,CVE-2022-36021,1,CVE-2022-36021,strict_nvd_event,-0.007427893049641088,-0.007427893049641088,0.0
redis,c6ad876774f3cc11e32681ea02a2eead00f2c521,CVE-2021-41099,1,CVE-2021-41099,strict_nvd_event,-0.007709449088354137,-0.007709449088354137,0.0
redis,f6a40570fa63d5afdd596c78083d754081d80ae3,CVE-2021-32627,11,CVE-2021-32627,strict_nvd_event,-0.008289637040618409,-0.016050015785892824,0.2727272727272727
redis,f6a40570fa63d5afdd596c78083d754081d80ae3,CVE-2021-32628,11,CVE-2021-32628,strict_nvd_event,-0.008289637040618409,-0.016050015785892824,0.2727272727272727
redis,bde62951accfc4bb0a516276fd0b4b307e140ce2,CVE-2025-48367,6,CVE-2025-48367,strict_nvd_event,-0.01027059247630959,-0.017142036352723156,0.3333333333333333
redis,4a7a4e42db8ff757cdf3f4a824f66426036034ef,CVE-2022-33105,1,CVE-2022-33105,strict_nvd_event,-0.010778565307226984,-0.010778565307226984,0.0
redis,50188747cbfe43528d2719399a2a3c9599169445,CVE-2025-32023,1,CVE-2025-32023,strict_nvd_event,-0.015388890739026662,-0.015388890739026662,0.0
redis,5f83972188f6e5b1d6f1940218c650a9cbdf7741,CVE-2025-62507,1,CVE-2025-62507,strict_nvd_event,-0.018982384980896272,-0.018982384980896272,0.0
