pair_id,repo,security_event_id,label,kind,log_loc,log_size_bytes,directory_depth,log_prior_touches_total,log_prior_touches_365d,log_total_churn,log_churn_365d,file_age_days,cyclomatic_density,halstead_volume,composite_score
48,libxml2,CVE-2018-14567,0,bugfix,6.90975328164481,10.329931067029484,0.0,3.6375861597263857,3.258096538021482,7.16703787691222,6.814542897259958,546.8687731481482,0.0939060939060939,0.03966047811818587,0.28124139427301975
49,libxml2,CVE-2018-9251,1,security,6.492239835020471,10.102379394048045,0.0,2.6390573296152584,1.3862943611198906,7.20414929203594,3.367295829986474,2375.927372685185,0.19878603945371776,0.0,0.31502635543343976
49,libxml2,CVE-2018-9251,0,bugfix,6.90975328164481,10.329931067029484,0.0,3.6375861597263857,3.258096538021482,7.16703787691222,6.814542897259958,546.2699421296296,0.0939060939060939,0.03966047811818587,0.28124139427301975
50,libxml2,CVE-2021-3541,1,security,9.53755560876329,12.99319957581015,0.0,6.584791392385716,3.044522437723423,11.203502087199853,5.638354669333745,8309.385613425926,0.21643835616438356,0.22143191208007665,0.29495212432768514
50,libxml2,CVE-2021-3541,0,bugfix,8.93971205409023,12.348955798811353,0.0,6.456769655572163,3.4657359027997265,10.880007533959756,8.329899292995725,10064.305185185185,0.2362349239643419,0.12526654324502484,0.29376868905828074
51,libxml2,CVE-2022-23308,1,security,8.745602852402946,12.183898608663638,0.0,5.564520407322694,0.0,10.118397298923234,0.0,8433.96855324074,0.2335243553008596,0.12923216328020395,0.2923231868431072
51,libxml2,CVE-2022-23308,0,bugfix,8.144679183447758,11.545982993892228,0.0,5.556828061699537,3.1354942159291497,9.544023006988647,5.71042701737487,8605.850509259259,0.14227642276422764,0.14136279290241732,0.284817978248737
52,libxml2,CVE-2022-29824,1,security,7.078341579557671,10.437433822292833,0.0,2.995732273553991,0.0,7.299797366758161,0.0,3570.1872106481483,0.1670886075949367,0.0,0.2864746342141454
52,libxml2,CVE-2022-29824,0,bugfix,7.192182058713246,10.658317618283657,0.0,3.912023005428146,2.995732273553991,7.4489161025442,6.371611847231857,841.2310416666667,0.0911144578313253,0.05924570372680797,0.27689548591736257
53,libxml2,CVE-2022-29824,1,security,9.102755161296246,12.482256364559884,0.0,6.135564891081739,1.3862943611198906,10.591144690352435,3.6888794541139363,8663.301458333333,0.25637598841741843,0.13151495622563,0.2960067576602214
53,libxml2,CVE-2022-29824,0,bugfix,8.014996894348302,11.554038617099993,0.0,5.981414211254481,4.07753744390572,9.62258246436337,8.529516941105069,10001.875636574074,0.2271074380165289,0.16311770557039793,0.2951728372133847
