repo,security_commit,security_event_id,security_ground_truth_policy,bugfix_commit,n_pairs,mean_delta_composite,median_delta_composite,positive_share
openssl,068b963bb7afc57f5bdd723de0dd15e7795d5822,CVE-2017-3735,strict_nvd_event,68ab93943fbe5fcbc3cd24db64cb6c298d13e2b6,1,-0.02232059744895848,-0.02232059744895848,0.0
openssl,cd30f03ac5bf2962f44bd02ae8d88245dff2f12c,CVE-2015-1792,strict_nvd_event,0a110df9211aebe9896cc2ae175b4b36f38ff40f,1,-0.022449140958855973,-0.022449140958855973,0.0
openssl,ed40856d7d4ba6cb42779b6770666a65f19cb977,CVE-2025-69418,strict_nvd_event,a38169137776cffc1d3d681b81deb4d712fc6678,1,-0.024531566946593086,-0.024531566946593086,0.0
openssl,684400ce192dac51df3d3e92b61830a6ef90be3e,CVE-2014-8275,strict_nvd_event,32a33dae788742c4511eade62336e2e814c7c68f,4,-0.024662735023528004,-0.027577488687363344,0.25
openssl,0ed26acce328ec16a3aa635f1ca37365e8c7403a,CVE-2016-2180,strict_nvd_event,f9afb3a07eb72428b98e3e31384380564a236700,1,-0.0314809731985955,-0.0314809731985955,0.0
openssl,00d965474b22b54e4275232bc71ee0c699c5cd21,CVE-2017-3731,strict_nvd_event,49ec8cff04c8d0ff8b5bb604acd98c3eb6c7cced,2,-0.03547420530239967,-0.03547420530239967,0.0
openssl,2c8f0e5fa9b6ee5508a0349e4572ddb74db5a703,CVE-2025-15467,strict_nvd_event,bff90a28a05621341eb5282c119d69d804caac04,1,-0.038453173476521385,-0.038453173476521385,0.0
openssl,a7a44ba55cb4f884c6bc9ceac90072dea38e66d0,CVE-2014-3570,strict_nvd_event,b2e7c4e2baa92255c57413113e96d67c23b39a34,3,-0.06711436060306997,-0.061846755481146154,0.0
php-src,2721a0148649e07ed74468f097a28899741eb58f,CVE-2016-5114,strict_nvd_event,90aac521fd59c8b69205e94d5ef1c973804f4034,1,0.04850106120840214,0.04850106120840214,1.0
php-src,863d37ea66d5c960db08d6f4a2cbd2518f0f80d1,CVE-2016-9933,strict_nvd_event,98cb17f4fd19590f261c1916c0322a7aecc768b9,1,0.04427562632683307,0.04427562632683307,1.0
php-src,7ba1409a1aee5925180de546057ddd84ff267947,CVE-2014-3587,strict_nvd_event,834e92a4f38b28a21d619300abca415c113e65d9,1,0.040814840485068005,0.040814840485068005,1.0
php-src,66fd44209d5ffcb9b3d1bc1b9fd8e35b485040c0,CVE-2016-9935,strict_nvd_event,156c84746778b3bb41d558bfd3b16559148f2358,1,0.03412177177830583,0.03412177177830583,1.0
php-src,6045de69c7dedcba3eadf7c4bba424b19c81d00d,CVE-2016-9934,strict_nvd_event,4c04ff33c969f5371efb4b25a155dba50db701b1,2,0.034054625804439714,0.034054625804439714,1.0
php-src,6dbb1ee46b5f4725cc6519abf91e512a2a10dfed,CVE-2016-7128,strict_nvd_event,1e3d92f8a95c17d0fb19c11e17a0cd8c13c18309,1,0.03390966775884868,0.03390966775884868,1.0
php-src,1cda0d7c2ffb62d8331c64e703131d9cabdc03ea,CVE-2016-10158,strict_nvd_event,b2d78ae00cd462aefef3eb83525e0e24d82ef2b4,1,0.03372681494591162,0.03372681494591162,1.0
php-src,b28b8b2fee6dfa6fcd13305c581bb835689ac3be,CVE-2016-10160,strict_nvd_event,c1f7b87fb1c4af693fb663f8a068490b76c30330,1,0.03127341237344555,0.03127341237344555,1.0
php-src,ca46d0acbce55019b970fcd4c1e8a10edfdded93,CVE-2016-10159,strict_nvd_event,f698c623612f978e6040b74b9d81330a18eba82e,1,0.031038830649301574,0.031038830649301574,1.0
php-src,996faf964bba1aec06b153b370a7f20d3dd2bb8b,CVE-2015-8935,strict_nvd_event,99f5653ebbc6d139d1ad4b60126003ed7d242e29,1,0.030546071332699043,0.030546071332699043,1.0
php-src,bab0b99f376dac9170ac81382a5ed526938d595a,CVE-2017-7189,strict_nvd_event,32ff46b6336a33d2c6c1feb73dee3f5c374020f6,1,0.030532185081890262,0.030532185081890262,1.0
