repo,snapshot_tag,snapshot_commit,advisory_id,fixed_commit,file_path,published_at,severity_label,source_family,mapping_basis,review_decision,reviewer,notes
prometheus-prometheus,v2.20.0-rc.1,113d1672dcf990452baef67e722a7308508dc57e,GHSA-VX57-7F4Q-FPC7,6eeded0fdf760e81af75d9c44ce539ab77da4505,web/web.go,2021-05-18T12:47:45+00:00,UNKNOWN,explicit_only,explicit_id,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
prometheus-prometheus,v2.6.0-rc.0,40f0b4a9f649e7de3505b0c4c19e402ee7c191d0,CVE-2019-10215,35857b59def018223440440b86929ed7c90a40c6,web/ui/assets_vfsdata.go,2019-10-04T09:18:54+00:00,UNKNOWN,explicit_only,explicit_id,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.10.6,dae0491b612ae9d706ffa2f0faa941bce00f0c01,CVE-2024-28869,240b83b77351dfd8cadb91c305b84e9d22e0f9c6,pkg/config/static/static_config.go,2024-04-12T21:08:36+00:00,HIGH,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.10.6,dae0491b612ae9d706ffa2f0faa941bce00f0c01,CVE-2025-47952,08d5dfee0164aa54dd44a467870042e18e8d3f00,integration/simple_test.go,2025-05-30T03:37:12+00:00,UNKNOWN,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.10.6,dae0491b612ae9d706ffa2f0faa941bce00f0c01,CVE-2025-47952,08d5dfee0164aa54dd44a467870042e18e8d3f00,pkg/muxer/http/mux.go,2025-05-30T03:37:12+00:00,UNKNOWN,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.10.6,dae0491b612ae9d706ffa2f0faa941bce00f0c01,CVE-2025-47952,08d5dfee0164aa54dd44a467870042e18e8d3f00,pkg/server/server_entrypoint_tcp.go,2025-05-30T03:37:12+00:00,UNKNOWN,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.10.6,dae0491b612ae9d706ffa2f0faa941bce00f0c01,CVE-2025-47952,08d5dfee0164aa54dd44a467870042e18e8d3f00,pkg/server/server_entrypoint_tcp_test.go,2025-05-30T03:37:12+00:00,UNKNOWN,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.10.6,dae0491b612ae9d706ffa2f0faa941bce00f0c01,CVE-2025-54386,5ef853a0c53068f69a6c229a5815a0dc6e0a8800,pkg/plugins/client.go,2025-08-01T23:32:21+00:00,UNKNOWN,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.11.0-rc2,547cd815997d6b29468dcfc6da7f2fba5655da9a,CVE-2024-28869,240b83b77351dfd8cadb91c305b84e9d22e0f9c6,pkg/config/static/static_config.go,2024-04-12T21:08:36+00:00,HIGH,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.11.0-rc2,547cd815997d6b29468dcfc6da7f2fba5655da9a,CVE-2025-47952,08d5dfee0164aa54dd44a467870042e18e8d3f00,integration/simple_test.go,2025-05-30T03:37:12+00:00,UNKNOWN,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
